	Counts	TPM
FAM138A	0.0	0.0
OR4F5	15.250544662309368	2.452557344659349
FAM87B	7.711038961038962	1.2400714635189116
LINC00115	951.4047076689446	153.00270614620865
LINC01128	79.67101958814665	12.812509229937177
FAM41C	4.351809436555199	0.6998479354353179
SAMD11	53.92495090494135	8.672085970094242
NOC2L	1382.6588063853746	222.35599356258518
KLHL17	295.92830703292424	47.590506370564036
PLEKHN1	27.648698884758364	4.446399851388685
PERM1	1.4452955629426218	0.2324290919824585
HES4	1137.0767960363335	182.86206226147561
ISG15	591.7986952469711	95.17169837054149
AGRN	121.70458649331889	19.572250309237067
RNF223	2.7322404371584703	0.4393925921930685
C1orf159	49.596108746634236	7.975931579263492
LINC01342	0.0	0.0
TTLL10	1.1350737797956867	0.18253994181914077
TNFRSF18	0.9369144284821986	0.15067241293816025
TNFRSF4	2.1104467112205416	0.33939716231304196
SDF4	542.6121372031662	87.26162978872995
B3GALT6	627.865329512894	100.97185113391416
C1QTNF12	37.17559036707973	5.97849252047777
UBE2J2	258.3362583362583	41.54503998406458
SCNN1D	7.935138864930137	1.2761106921101433
ACAP3	96.22081774796852	15.474009519157311
PUSL1	350.2259522272434	56.3225281748836
INTS11	272.9909181103564	43.901768498245104
CPTP	87.08272859216255	14.004443141596202
TAS1R3	2.0125786163522013	0.32365824149466776
DVL1	214.88977231658836	34.558076518390834
MXRA8	275.13920733704555	44.24725140643202
AURKAIP1	3720.8894090111176	598.3848348242213
CCNL2	1062.1514528911066	170.8127417486093
MRPL20	2059.4315245478037	331.19301790155674
ANKRD65	4.958677685950414	0.7974430846743622
TMEM88B	12.048192771084338	1.9375625149718438
LINC01770	0.0	0.0
VWA1	55.70652173913043	8.958594073979869
ATAD3C	12.506106497313143	2.011203142067501
ATAD3B	158.44580777096115	25.480888596690253
ATAD3A	157.418496340652	25.315678746849017
TMEM240	35.285688697832704	5.674562902078563
SSU72	225.6248118036736	36.28446075726511
FNDC10	74.19818094782192	11.932379968938617
MIB2	74.42748091603053	11.969255459854692
MMP23B	7.679870654810023	1.23505904854915
CDK11B	33.4551651456376	5.380182335225537
SLC35E2B	137.61292176078143	22.13059201869379
CDK11A	98.99918853124156	15.920820686993421
NADK	206.79907485590513	33.256949252447626
GNB1	94.16722572354558	15.143755596169246
CALML6	3.2414910858995136	0.5212891045143048
TMEM52	239.48598130841123	38.51358200028729
CFAP74	0.6105975307435857	0.0981948836461606
GABRD	3.6761487964989055	0.5911897529270763
PRKCZ	2.015919837540578	0.3241955689637605
FAAP20	379.21675067855756	60.98476137662832
SKI	52.89564396030373	8.506555206250848
MORN1	8.29799004241195	1.3344635798303224
RER1	941.7056758338209	151.44293026344255
PEX10	65.25096525096525	10.493509419888053
PLCH2	0.2053669222343921	0.03302663377792915
PANK4	28.456183003646814	4.5762575810847315
HES5	33.311125916055964	5.357018279235944
TNFRSF14	81.8751350183625	13.166969979146531
MMEL1	0.11792174712860545	0.018963902825719088
ACTRT2	0.0	0.0
PRDM16	0.2733837875293684	0.0439649488501883
ARHGEF16	4.749161358410916	0.7637491531256094
MEGF6	1.3597293491105105	0.21866853123951788
TPRG1L	96.90601284296555	15.584201010672542
WRAP73	196.93914482188097	31.671298093211494
TP73	4.029317168238937	0.6479854742073179
CCDC27	1.45492335671603	0.23397741152478901
SMIM1	326.3454317897372	52.48211807215193
LRRC47	110.28553883942278	17.735865457895166
CEP104	57.58199898124156	9.260203989345646
DFFB	64.23321379114441	10.329836982405192
C1orf174	196.48776991309023	31.598709023623332
LINC01134	7.644243552246743	1.2293295802583255
LINC01346	0.3341129301703976	0.053731269209042115
LINC01777	0.0	0.0
AJAP1	0.0	0.0
NPHP4	9.886940292752149	1.589994886617109
KCNAB2	21.89382955800003	3.5209150672433647
CHD5	11.551028743554399	1.8576097451384854
RPL22	1558.2191780821918	250.58920677367013
RNF207	190.09953200184563	30.571367367598718
ICMT	284.00486749594376	45.673006382363944
HES3	0.0	0.0
GPR153	28.393250183418928	4.5661368703896255
ACOT7	13.97737364377003	2.2478089240837105
HES2	31.156636790439606	5.01053831763312
ESPN	14.713610089332635	2.366208767627202
TNFRSF25	90.44030146767156	14.544400251220617
PLEKHG5	4.529480671612651	0.7284206128133116
NOL9	232.13641284734751	37.33164138712306
TAS1R1	0.16339869281045752	0.026277400121350172
ZBTB48	119.80624327233586	19.266963139998275
KLHL21	169.93839835728951	27.329100452449264
PHF13	210.48558715418844	33.84980563977895
THAP3	92.49377445748844	14.874635031338453
DNAJC11	81.76973383132317	13.150019603856132
LINC01672	1.5186028853454823	0.24421820613919976
CAMTA1	44.19798207585684	7.107817324528946
VAMP3	138.3313656040929	22.246130497066535
PER3	61.9732683697656	9.96639778305449
UTS2	13.252346769740475	2.1312117779259596
TNFRSF9	7.986810771203516	1.2844204486499557
PARK7	632.06229633078	101.64679763729623
ERRFI1	54.53301402668491	8.769873275942691
LINC01714	0.15297537096527458	0.02460114559318694
SLC45A1	1.188513591228003	0.19113400878052964
RERE	34.537235860432425	5.554198446634962
ENO1	3093.019399767866	497.41223110688713
CA6	0.03418102269619907	0.005496913068863242
SLC2A7	0.0	0.0
SLC2A5	3.4364261168384878	0.5526381056448901
GPR157	14.219924052678355	2.2868153202479355
MIR34AHG	15.118853414122581	2.4313790624983134
H6PD	26.661556991131064	4.287649973594487
SPSB1	3.6399217221135025	0.5853637985545073
SLC25A33	53.91987068467844	8.671268980813258
TMEM201	170.86207968177015	27.477644748187004
PIK3CD	13.698099065686263	2.2028966319116967
CLSTN1	49.98638828974096	8.038695433349458
CTNNBIP1	10.293144894567867	1.6553197718377464
LZIC	145.3006421482779	23.36691344311082
NMNAT1	22.248104394951394	3.5778887277015667
RBP7	0.4249893752656183	0.06834580907040502
UBE4B	41.165281674940644	6.620105455404655
KIF1B	34.459151072569604	5.541641031524902
PGD	287.2211895910781	46.19024786795541
CENPS	44.36054742803209	7.1339607087354056
CORT	0.437636761487965	0.07037973249131861
DFFA	678.8776954458414	109.17554192054571
PEX14	6.218993280406642	1.0001241256611484
CASZ1	1.9201049032922775	0.30878683269091856
C1orf127	0.0	0.0
TARDBP	1427.084142646259	229.50037346167622
MASP2	4.440797412752812	0.714158776093305
SRM	1072.202829322065	172.42918087491853
EXOSC10	167.27731395278994	26.901151008968498
MTOR	39.0716634299229	6.283414608131431
ANGPTL7	4.034065441506051	0.6487490805396536
UBIAD1	129.93857587017519	20.89642144995474
DISP3	0.11997394851403696	0.019293933109358678
LINC01647	14.644351464435147	2.355070755645693
FBXO2	31.834337814866327	5.119524630039961
FBXO44	101.6408924566167	16.345653406614673
MAD2L2	512.8433556050483	82.4742831354355
FBXO6	32.45614035087719	5.219521476735554
DRAXIN	10.435635243031237	1.6782347403457623
AGTRAP	234.96970109620753	37.78728425484647
C1orf167	3.9061073997006535	0.6281711640004726
MTHFR	358.3488760184549	57.62883800481903
CLCN6	90.74468946530271	14.593351225480664
NPPA	31.822565091610418	5.117631367895738
NPPB	59.78260869565217	9.614100957441812
KIAA2013	843.5901184037422	135.66421308783924
PLOD1	168.77874547411685	27.14260775603367
MFN2	202.5198740062997	32.56877806214844
MIIP	123.28232354778264	19.82597833577959
TNFRSF8	9.439447736635696	1.5180301680129145
TNFRSF1B	69.35430385143776	11.153398849744594
VPS13D	25.336160676292874	4.074502801574166
DHRS3	48.93420577255028	7.869485872799416
AADACL4	0.26619343389529726	0.042808612797514564
AADACL3	0.0	0.0
PRAMEF12	0.3270111183780249	0.05258917225070734
PRAMEF1	0.0	0.0
PRAMEF11	0.0	0.0
HNRNPCL1	0.0	0.0
PRAMEF2	0.0	0.0
PRAMEF4	0.0	0.0
PRAMEF10	0.0	0.0
HNRNPCL3	0.0	0.0
HNRNPCL2	0.0	0.0
HNRNPCL4	0.0	0.0
PRAMEF9	0.0	0.0
PRAMEF13	0.0	0.0
PRAMEF33	0.0	0.0
PRAMEF14	0.0	0.0
PRAMEF19	0.2843332385555872	0.04572581425722578
PRAMEF17	0.0	0.0
PRAMEF20	0.09192021325489476	0.014782396244384873
LRRC38	0.1547548425369477	0.02488731609852669
PDPN	38.098301219262595	6.126880747103591
PRDM2	40.424204616344355	6.500927155660988
KAZN	4.222060800231766	0.678982059624271
TMEM51	4.090132742036976	0.6577656942250774
FHAD1	0.40436180438169106	0.06502853079647639
EFHD2	120.69049831287593	19.40916699187698
CTRC	1.582085919435317	0.25442740095589866
CELA2A	0.1301744337412132	0.02093435156764684
CELA2B	0.06535947712418301	0.010510960048540068
CASP9	18.429414434861553	2.9637758342951064
DNAJC16	98.43948264731418	15.83081008036455
AGMAT	26.245153593796598	4.220684941650566
DDI2	146.78899082568807	23.606266237455124
RSC1A1	1.2942191544434858	0.20813333314408503
PLEKHM2	83.02455069649474	13.351816351908338
SLC25A34	24.61114392596968	3.9579072834874744
TMEM82	0.0	0.0
FBLIM1	14.588573481854116	2.346100669404283
UQCRHL	355.0185873605948	57.09326868001606
SPEN	163.0810437186798	26.22631652857927
ZBTB17	27.667522764417463	4.449427064208632
HSPB7	2.729372244383792	0.4389313360601763
CLCNKA	0.5804311774461028	0.09334360043106478
CLCNKB	0.7357810315650063	0.1183266049169767
FAM131C	1.2607160867372667	0.2027454472297819
EPHA2	43.05542441695779	6.924073842569572
ARHGEF19	23.349979754352816	3.7550897762829947
FBXO42	28.30992314390641	4.552736408485454
SZRD1	150.55111025418555	24.21128158871996
SPATA21	6.49785983188077	1.0449707999368545
NECAP2	236.1211247296323	37.972453542337526
LINC01783	6.242905788876277	1.0039696800052742
NBPF1	86.57847945446375	13.923350960720997
CROCC	12.149715853419558	1.953889222427025
MFAP2	957.5708502024291	153.99433093690146
ATP13A2	76.30213338458582	12.27073273704348
SDHB	107.78476905279196	17.333697440731715
PADI2	0.17080067561156131	0.027467769887536624
PADI1	0.12230620581688315	0.0196690013383556
PADI3	0.2846164792941511	0.045771364378159395
PADI4	1.5231337132208007	0.24494684340619932
PADI6	0.03389370932754881	0.005450707996972039
RCC2	538.1212121212121	86.53940959673363
ARHGEF10L	0.7592966382141343	0.12210833042767107
ACTL8	0.8640994550598597	0.13896247720652127
LINC01654	0.0	0.0
IGSF21	0.003693607842268171	0.000593997476315342
KLHDC7A	5.339133873838244	0.8586271694783274
PAX7	1.6074876584897226	0.25851244992067246
TAS1R2	0.0	0.0
ALDH4A1	34.2365317182021	5.505839901486136
IFFO2	7.31946285516685	1.1770990992057062
UBR4	60.0160592867614	9.651643941939605
EMC1	337.80922665478045	54.32569906656819
MRTO4	757.8380907814693	121.87377020062834
AKR7A3	11.40745501285347	1.8345205496030006
AKR7A2	264.3288483949571	42.50875446688678
CAPZB	57.20063457911472	9.198873847626878
NBL1	76.89781980562122	12.366529650489785
HTR6	0.701530612244898	0.11281853164344983
TMCO4	2.011730852481559	0.32352190606839154
RNF186	0.0	0.0
OTUD3	132.7659574468085	21.351114420302498
PLA2G2E	0.0	0.0
PLA2G2A	0.0	0.0
PLA2G5	0.0	0.0
PLA2G2D	0.28914269191846176	0.046499259431158894
PLA2G2F	0.0	0.0
PLA2G2C	15.974217053177329	2.5689366659656114
UBXN10	50.14542172299669	8.064270822518456
VWA5B1	0.04689258471926973	0.0075411570937224765
LINC01141	0.028988027944458938	0.0046617876552356155
CAMK2N1	287.90637191157344	46.3004373051048
MUL1	214.67826883444013	34.52406301723073
FAM43B	22.46320681642138	3.61248100196532
CDA	2.8374002737256734	0.4563041540583622
PINK1	41.03671706263499	6.599429991599564
DDOST	1943.6490079770913	312.5731411898456
KIF17	0.4444115250722169	0.07146923431271597
SH2D5	24.324114958556045	3.9117479483458197
HP1BP3	1065.619958646702	171.37053882761475
EIF4G3	33.66460063087397	5.413863265901948
ECE1	72.66223393361824	11.685372520083186
NBPF3	5.757514895896097	0.9259102384594645
ALPL	3.041054232133806	0.48905531295285254
RAP1GAP	12.522385815253797	2.013821144353024
USP48	160.1357487691793	25.752661002135163
LDLRAD2	5.479663502353939	0.8812268195360866
HSPG2	60.68691012114786	9.759528622616724
CELA3B	0.0	0.0
CELA3A	0.0	0.0
LINC01635	15.57177615571776	2.5042170509806407
LINC00339	166.75406397482956	26.81700315687826
CDC42	213.8551975593422	34.39169859709901
WNT4	3.265686960578493	0.5251802291572853
ZBTB40	46.14977240344484	7.421699733921933
EPHA8	0.37413014740727807	0.06016674559499029
C1QA	0.6295247088448221	0.10123870868282217
C1QC	0.44493882091212456	0.07155403281097354
C1QB	0.0	0.0
EPHB2	9.76441045651111	1.570289921550808
LACTBL1	0.0	0.0
KDM1A	239.46205093082622	38.50973357227333
LUZP1	30.105144042623415	4.841439684199648
HTR1D	278.30687830687833	44.75666893049776
LINC01355	1121.1401425178146	180.2991664763348
HNRNPR	626.9375204778587	100.82264302930521
ZNF436	55.934668307416935	8.995284077786277
TCEA3	0.9801463381276925	0.1576248687272802
ASAP3	12.748002513690636	2.0501043003373867
E2F2	47.71508086960029	7.673429023618374
ID3	3368.9008042895443	541.7788409491432
MDS2	0.07555723460521345	0.012150939836997585
RPL11	14862.491930277598	2390.151601183724
ELOA	247.45907777896653	39.79579694680429
PITHD1	515.0807352493146	82.8340933586663
LYPLA2	738.1386861313867	118.7057574751956
GALE	893.6514355034371	143.71495839922576
HMGCL	29.046346944833143	4.671166382085578
FUCA1	48.13637925111645	7.741181255604829
CNR2	5.081559022308045	0.8172045771770062
PNRC2	1520.4165524801315	244.5098758959426
SRSF10	2562.2014022460753	412.04730760242415
MYOM3	0.4275407499777323	0.06875611525472367
IL22RA1	1.275781416117372	0.2051682186808374
IFNLR1	4.7404812947250825	0.7623532453455146
GRHL3	0.08334027835652971	0.013402590944467292
STPG1	13.580159932363406	2.183929933078402
NIPAL3	46.14390047873641	7.420755424561852
RCAN3AS	0.32631750693424705	0.052477627261433527
RCAN3	24.469581526198567	3.935141545543419
NCMAP	0.2065650116427552	0.03321930774748918
SRRM1	752.6757016468406	121.04356671160711
CLIC4	48.972298497819416	7.875611856835107
RUNX3	30.82442748091603	4.957113184296743
SYF2	453.69376402849616	72.9619825280219
RSRP1	4729.131175468484	760.5279453997148
RHD	6.884057971014492	1.1070782920690572
TMEM50A	356.79853723404256	57.37951610474172
RHCE	3.4456877729257642	0.5541275437707753
LDLRAP1	74.06529128132163	11.911008959914257
MAN1C1	1.3689700130378095	0.2201545934547538
SELENON	69.76228736078018	11.219009814762163
MTFR1L	84.37523970238551	13.56903103604582
AUNIP	58.06781125996935	9.338331197173456
PAQR7	29.580348004094166	4.757043198222069
